chrn T21_0 T21_10 T21_30
chr1 22247 22920 23111
chr2 21039 21600 21981
chr3 15443 16160 16551
chr4 13435 13975 15068
chr5 13992 14561 15214
chr6 13412 13897 14678
chr7 14412 14229 14814
chr8 12082 12524 12943
chr9 10751 10893 11138
chr10 13378 13633 13709
chr11 12168 12196 12609
chr12 11392 11491 11861
chr13 6636 7041 7694
chr14 7549 7798 8163
chr15 7906 8177 8436
chr16 10588 10069 9912
chr17 9430 9195 9066
chr18 9025 8837 8560
chr19 8054 7723 7261
chr20 6618 6549 6481
chr21 3293 3675 4086
chr22 4733 4583 4237
chrX 6207 7774 9748
chrY 2000 1705 1341
chrM 536 559 613
